# sent_id = aa_000
# text = T'ad faagail bee ec oaieyn ny merriu.
1-2	T'ad	_	_	_	_	_	_	_	
14	vyghin	myghin	NOUN	_	_	12	nsubj	_	thrócaire
15	farraghtyn	farraghtyn	NOUN	_	_	12	xcomp	_	go brách
16	son	son	ADP	_	_	18	case	_	
17	dy	dy	ADP	_	_	18	case	_	
18	bragh	bragh	NOUN	_	_	15	obl:tmod	_	
19	.	.	PUNCT	_	_	1	punct	_	.

# sent_id = aa_077
# text = Rish shey laa nee shiu chaglym eh, agh er y chiaghtoo laa ta'n doonaght, cha bee veg jeh ry gheddyn.
# text_ga = Baileoidh sibh é sé lá, ach ar an seachtú lá, an tsabóid, ní bheidh sé ann.
# text_en = Six days ye shall gather it; but on the seventh day, which is the sabbath, in it there shall be none.
1	Rish	rish	ADP	_	_	3	case	_	Le
2	shey	shey	NUM	_	_	3	nummod	_	sé
3	laa	laa	NOUN	_	_	4	obl:tmod	_	lá
4	nee	jean	VERB	_	Mood=Ind|Tense=Fut	0	root	_	íosfaidh
5	shiu	shiu	PRON	_	_	4	nsubj	_	sibh
6	chaglym	chaglym	NOUN	_	_	4	xcomp	_	cruinnithe
7	eh	eh	PRON	_	_	6	obj	_	é
8	,	,	PUNCT	_	_	19	punct	_	,
9	agh	agh	CCONJ	_	_	19	cc	_	ach
10	er	er	ADP	_	_	13	case	_	ar
11	y	yn	DET	_	_	13	det	_	an
12	chiaghtoo	shiaghtoo	NUM	_	_	13	amod	_	seachtú
13	laa	laa	NOUN	_	_	19	obl:tmod	_	lá
14-15	ta'n	_	_	_	_	_	_	_	
14	ta	bee	VERB	_	Mood=Ind|Tense=Pres	13	csubj:cleft	_	atá an
15	'n	yn	DET	_	_	16	det	_	
16	doonaght	doonaght	NOUN	_	_	14	nsubj	_	tsabóid
17	,	,	PUNCT	_	_	13	punct	_	,
18	cha	cha	PART	_	_	19	mark	_	ní bheidh
19	bee	bee	VERB	_	Mood=Ind|Tense=Fut	4	conj	_	
20	veg	veg	NOUN	_	_	19	nsubj	_	faic
21-22	jeh	_	_	_	_	_	_	_	
21	jeh	jeh	ADP	_	_	22	case	_	de
22	eh	eh	PRON	_	_	20	nmod	_	
23	ry	ry	ADP	_	_	24	case	_	ar fáil
24	gheddyn	geddyn	NOUN	_	_	19	xcomp	_	
25	.	.	PUNCT	_	_	4	punct	_	.

# sent_id = aa_078
# text = Te scruit er my hon.
1-2	Te	_	_	_	_	_	_	_	
1	T'	bee	VERB	_	Mood=Ind|Tense=Pres	0	root	_	Tá
2	eh	eh	PRON	_	_	1	nsubj	_	sé
3	scruit	scruit	ADJ	_	_	1	xcomp:pred	_	scríofa
4	er	er	ADP	_	_	6	case	_	ar mo shon
5	my	my	DET	_	Number=Sing|Person=1|Poss=Yes	6	nmod:poss	_	
6	hon	son	NOUN	_	_	1	obl	_	
7	.	.	PUNCT	_	_	1	punct	_	.

# sent_id = aa_079
# text = Tra v'eh ergerrey da croymmey ny greiney va Juan ny chadley foast.
1	Tra	tra	SCONJ	_	_	2	mark	_	Nuair a bhí sé
2-3	v'eh	_	_	_	_	_	_	_	
2	v'	bee	VERB	_	Mood=Ind|Tense=Past	9	advcl	_	
3	eh	eh	PRON	_	_	2	nsubj	_	
4	ergerrey	ergerrey	ADP	_	_	6	case	_	i gcóngar
5	da	da	ADP	_	_	4	fixed	_	dó
6	croymmey	croymmey	NOUN	_	_	2	xcomp:pred	_	cromadh
7	ny	ny	DET	_	_	8	det	_	na
8	greiney	grian	NOUN	_	_	6	nmod	_	gréine
9	va	bee	VERB	_	Mood=Ind|Tense=Past	0	root	_	a bhí
10	Juan	Juan	PROPN	_	_	9	nsubj	_	Seán
11	ny	ny	DET	_	Gender=Masc|Number=Sing|Person=3|Poss=Yes	12	nmod:poss	_	ina
12	chadley	cadley	NOUN	_	_	9	xcomp:pred	_	chodladh
13	foast	foast	ADV	_	_	9	advmod	_	fós
14	.	.	PUNCT	_	_	9	punct	_	.

# sent_id = aa_080
# text = Ren eh troggal er as sheeyney e laue huic.
# text_ga = D'éirigh sé ina sheasamh agus shín sé a lámh chuici.
1	Ren	jean	VERB	_	Mood=Ind|Tense=Past	0	root	_	Rinne
2	eh	eh	PRON	_	_	1	nsubj	_	sé
3	troggal	troggal	NOUN	_	_	1	xcomp	_	tógáil
4-5	er	_	_	_	_	_	_	_	
4	er	er	ADP	_	_	5	case	_	air
5	eh	eh	PRON	_	_	3	obl	_	
6	as	as	CCONJ	_	_	7	cc	_	agus
7	sheeyney	sheeyney	NOUN	_	_	3	conj	_	síneadh
8	e	e	DET	_	Gender=Masc|Number=Sing|Person=3|Poss=Yes	9	nmod:poss	_	a
9	laue	laue	NOUN	_	_	7	obj	_	lámh
10-11	huic	_	_	_	_	_	_	_	
10	hug	hug	ADP	_	_	11	case	_	chuici
11	ee	ee	PRON	_	_	7	obl	_	
12	.	.	PUNCT	_	_	1	punct	_	.

# sent_id = aa_081
# text = Adsyn ayns baljyn as baljyn beggey syn Ellan ren goaill ayrn sy cho-hirrey Ellanyn my Vlaa, t'ad fuirraght d'eddyn magh quoi vees ny cosneyderyn.
1	Adsyn	adsyn	PRON	_	_	0	root	_	Iadsan
2	ayns	ayns	ADP	_	_	3	case	_	i
3	baljyn	balley	NOUN	_	_	1	nmod	_	mbailte
4	as	as	CCONJ	_	_	5	cc	_	agus
5	baljyn	balley	NOUN	_	_	3	conj	_	bailte
6	beggey	beg	ADJ	_	_	5	amod	_	beaga
7-8	syn	_	_	_	_	_	_	_	
7	ayns	ayns	ADP	_	_	9	case	_	san
8	yn	yn	DET	_	_	9	det	_	
9	Ellan	ellan	NOUN	_	_	3	nmod	_	Oileán
10	ren	jean	VERB	_	Mood=Ind|Tense=Past	1	acl:relcl	_	a rinne
11	goaill	goaill	NOUN	_	_	10	xcomp	_	gabháil
12	ayrn	ayrn	NOUN	_	_	11	obj	_	páirt
13-14	sy	_	_	_	_	_	_	_	
13	ayns	ayns	ADP	_	_	15	case	_	sa
14	yn	yn	DET	_	_	15	det	_	
15	cho-hirrey	co-hirrey	NOUN	_	_	11	obl	_	chomórtas
16	Ellanyn	ellan	NOUN	_	_	11	appos	_	Oileáin
17	my	my	ADP	_	_	18	case	_	faoi Bhláth
18	Vlaa	blaa	NOUN	_	_	16	nmod	_	
19	,	,	PUNCT	_	_	20	punct	_	,
20-21	t'ad	_	_	_	_	_	_	_	
20	t'	bee	VERB	_	Mood=Ind|Tense=Pres	1	parataxis	_	tá siad
21	ad	ad	PRON	_	_	20	nsubj	_	
22	fuirraght	fuirraght	NOUN	_	_	20	xcomp	_	ag fanacht
23-24	d'eddyn	_	_	_	_	_	_	_	
23	d'	dy	ADP	_	_	24	case	_	le fáil
24	eddyn	feddyn	NOUN	_	_	22	xcomp	_	
25	magh	magh	ADV	_	_	24	advmod	_	amach
26	quoi	quoi	PRON	_	_	24	obj	_	cé
27	vees	bee	VERB	_	Mood=Ind|Tense=Fut	26	acl:relcl	_	a bheidh
28	ny	ny	DET	_	_	29	det	_	na
29	cosneyderyn	cosneyder	NOUN	_	_	27	xcomp:pred	_	buaiteoirí
30	.	.	PUNCT	_	_	1	punct	_	.

# sent_id = aa_082
# text = Son ga dy vel baase leah berraghtyn er yn ynrick; foast bee eh ayns fea.
# text_en = But though the righteous be prevented with death, yet shall he be in rest.
1	Son	son	SCONJ	_	_	4	mark	_	Cé go bhfuil
2	ga	ga	SCONJ	_	_	4	mark	_	
3	dy	dy	PART	_	_	4	mark	_	
4	vel	bee	VERB	_	Mood=Ind|Tense=Pres	13	advcl	_	
5	baase	baase	NOUN	_	_	4	nsubj	_	bás
6	leah	leah	ADJ	_	_	5	amod	_	luath
7	berraghtyn	berraghtyn	NOUN	_	_	4	xcomp	_	breith
8	er	er	ADP	_	_	10	case	_	ar
9	yn	yn	DET	_	_	10	det	_	an
10	ynrick	ynrick	NOUN	_	_	7	obl	_	ionraic
11	;	;	PUNCT	_	_	4	punct	_	;
12	foast	foast	ADV	_	_	13	advmod	_	fós
13	bee	bee	VERB	_	Mood=Ind|Tense=Fut	0	root	_	beidh
14	eh	eh	PRON	_	_	13	nsubj	_	sé
15	ayns	ayns	ADP	_	_	16	case	_	i
16	fea	fea	NOUN	_	_	13	xcomp:pred	_	suaimhneas
17	.	.	PUNCT	_	_	13	punct	_	.

# sent_id = aa_083
# text = Cre t'ow dy yearree er Jee ayns y Phadjer shoh?
1	Cre	cre	PRON	_	_	0	root	_	Céard
2-3	t'ow	_	_	_	_	_	_	_	
2	t'	bee	VERB	_	Mood=Ind|Tense=Pres	1	acl:relcl	_	atá tú
3	ow	ow	PRON	_	_	2	nsubj	_	
4	dy	dy	ADP	_	_	5	case	_	gur
5	yearree	yearree	NOUN	_	_	2	xcomp	_	yearree
6	er	er	ADP	_	_	7	case	_	ar
7	Jee	Jee	PROPN	_	_	5	obl	_	Di
8	ayns	ayns	ADP	_	_	10	case	_	sa
9	y	yn	DET	_	_	10	det	_	
10	Phadjer	padjer	NOUN	_	_	5	obl	_	Phaidir
11	shoh	shoh	DET	_	_	10	det	_	seo
12	?	?	PUNCT	_	_	1	punct	_	?

# sent_id = aa_084
# text = Shoh eiraght cloan Venjamin, cordail rish nyn gynneeyn.
# text_ga = Sin í oidhreacht chlann Bhiniáimin de réir a bhfiní.
1	Shoh	shoh	PRON	_	_	0	root	_	Seo
2	eiraght	eiraght	NOUN	_	_	1	nsubj	_	oidhreacht
3	cloan	cloan	NOUN	_	_	2	nmod	_	clann
4	Venjamin	Benjamin	PROPN	_	_	3	nmod	_	Bhiniáimin
5	,	,	PUNCT	_	_	6	punct	_	,
6	cordail	cordail	NOUN	_	_	2	acl	_	de réir
7	rish	rish	ADP	_	_	9	case	_	
8	nyn	nyn	DET	_	Number=Plur|Person=3|Poss=Yes	9	nmod:poss	_	a
9	gynneeyn	kynney	NOUN	_	_	6	obl	_	gciníocha
10	.	.	PUNCT	_	_	1	punct	_	.

# sent_id = aa_085
# text = Vel vondeishyn erbee elley cheet liorish y Credjue shoh?
1	Vel	bee	VERB	_	Mood=Ind|Tense=Pres	0	root	_	An bhfuil
2	vondeishyn	vondeish	NOUN	_	_	1	nsubj	_	sochair
3	erbee	erbee	ADJ	_	_	2	amod	_	ar bith
4	elley	elley	ADJ	_	_	2	amod	_	eile
5	cheet	cheet	NOUN	_	_	1	xcomp	_	ag teacht
6	liorish	liorish	ADP	_	_	8	case	_	ag
7	y	yn	DET	_	_	8	det	_	na
8	Credjue	credjue	NOUN	_	_	5	obl	_	Creidimh
9	shoh	shoh	DET	_	_	8	det	_	seo
10	?	?	PUNCT	_	_	1	punct	_	?

# sent_id = aa_086
# text = Myrane lesh shen, t'eh er goaill paart lesh Aegid Chochaarjys Seyr ny h-Oarpey veih'n vlein 2003 as lesh Kernow X veih'n vlein 2007.
1	Myrane	myrane	ADP	_	_	3	case	_	Mar aon leis
2	lesh	lesh	ADP	_	_	1	fixed	_	
3	shen	shen	PRON	_	_	5	obl	_	sin
4	,	,	PUNCT	_	_	3	punct	_	,
5-6	t'eh	_	_	_	_	_	_	_	
5	t'	bee	VERB	_	Mood=Ind|Tense=Pres	0	root	_	tá sé
6	eh	eh	PRON	_	_	5	nsubj	_	
7	er	er	ADP	_	_	8	case	_	air
8	goaill	goaill	NOUN	_	_	5	xcomp	_	ag gabháil
9	paart	paart	NOUN	_	_	8	obj	_	páirte
10	lesh	lesh	ADP	_	_	11	case	_	le
11	Aegid	aegid	NOUN	_	_	8	obl	_	Óige
12	Chochaarjys	cochaarjys	NOUN	_	_	11	nmod	_	Chomhaontas
13	Seyr	seyr	ADJ	_	_	12	amod	_	Saoire
14	ny	ny	DET	_	_	15	det	_	na
15	h-Oarpey	Oarpey	PROPN	_	_	12	nmod	_	hEorpa
16-17	veih'n	_	_	_	_	_	_	_	
16	veih	veih	ADP	_	_	18	case	_	ón
17	yn	yn	DET	_	_	18	det	_	
18	vlein	blein	NOUN	_	_	8	obl	_	bhliain
19	2003	2003	NUM	_	_	18	appos	_	2003
20	as	as	CCONJ	_	_	22	cc	_	agus
21	lesh	lesh	ADP	_	_	22	case	_	le
22	Kernow	Kernow	PROPN	_	_	11	conj	_	Kernow
23	X	X	X	_	_	22	flat	_	X
24-25	veih'n	_	_	_	_	_	_	_	
24	veih	veih	ADP	_	_	26	case	_	ón
25	yn	yn	DET	_	_	26	det	_	
26	vlein	blein	NOUN	_	_	8	obl	_	bhliain
27	2007	2007	NUM	_	_	26	appos	_	2007
28	.	.	PUNCT	_	_	5	punct	_	.

# sent_id = aa_087
# text = Tra v'eh er-sooyl ass shilley haink yn troailtagh elley sheese ass y villey, as dooyrt eh rish e charrey ayns aght grinderagh “Cre va'n vuc-awin sonjeragh ayns dty chleaysh?”
1	Tra	tra	SCONJ	_	_	2	mark	_	Nuair a bhí sé
2-3	v'eh	_	_	_	_	_	_	_	
2	v'	bee	VERB	_	Mood=Ind|Tense=Past	8	advcl	_	
3	eh	eh	PRON	_	_	2	nsubj	_	
4-5	er-sooyl	_	_	_	_	_	_	_	
4	er	er	ADP	_	_	5	case	_	imithe
5	sooyl	sooyl	NOUN	_	_	2	obl	_	
6	ass	ass	ADP	_	_	7	case	_	as amharc
7	shilley	shilley	NOUN	_	_	2	obl	_	
8	haink	tar	VERB	_	Mood=Ind|Tense=Past	0	root	_	ar tháinig
9	yn	yn	DET	_	_	10	det	_	an
10	troailtagh	troailtagh	NOUN	_	_	8	nsubj	_	paisinéir
11	elley	elley	ADJ	_	_	10	amod	_	eile
12	sheese	sheese	ADV	_	_	8	advmod	_	síos
13	ass	ass	ADP	_	_	15	case	_	as
14	y	yn	DET	_	_	15	det	_	an
15	villey	billey	NOUN	_	_	8	obl	_	chrann
16	,	,	PUNCT	_	_	18	punct	_	,
17	as	as	CCONJ	_	_	18	cc	_	agus
18	dooyrt	abbyr	VERB	_	Mood=Ind|Tense=Past	8	conj	_	dúirt
19	eh	eh	PRON	_	_	18	nsubj	_	sé
20	rish	rish	ADP	_	_	22	case	_	lena
21	e	e	DET	_	Gender=Masc|Number=Sing|Person=3|Poss=Yes	22	nmod:poss	_	
22	charrey	carrey	NOUN	_	_	18	obl	_	chara
23	ayns	ayns	ADP	_	_	24	case	_	i mbealach
24	aght	aght	NOUN	_	_	18	obl	_	
25	grinderagh	grinderagh	ADJ	_	_	24	amod	_	magúil
26	“	“	PUNCT	_	_	27	punct	_	“
27	Cre	cre	PRON	_	_	18	parataxis	_	Cad a
28-29	va'n	_	_	_	_	_	_	_	
28	va	bee	VERB	_	Mood=Ind|Tense=Past	27	acl:relcl	_	bhí an
29	'n	yn	DET	_	_	30	det	_	
30	vuc-awin	muc-awin	NOUN	_	_	28	nsubj	_	béar
31	sonjeragh	sonjeragh	NOUN	_	_	28	xcomp	_	ag cogarnaíl
32	ayns	ayns	ADP	_	_	34	case	_	i
33	dty	dty	DET	_	Number=Sing|Person=2|Poss=Yes	34	nmod:poss	_	do
34	chleaysh	cleaysh	NOUN	_	_	31	obl	_	chluas
35	?	?	PUNCT	_	_	27	punct	_	?
36	”	”	PUNCT	_	_	27	punct	_	”

# sent_id = aa_088
# text = Ny yei, ayns ny Steatyn Unnaneyssit, t'ad gra ‘zee’.
1	Ny	ny	DET	_	Gender=Masc|Number=Sing|Person=3|Poss=Yes	2	nmod:poss	_	Ina dhiaidh
2	yei	jei	NOUN	_	_	9	obl	_	
3	,	,	PUNCT	_	_	6	punct	_	,
4	ayns	ayns	ADP	_	_	6	case	_	sna
5	ny	ny	DET	_	_	6	det	_	
6	Steatyn	steat	PROPN	_	_	9	obl	_	Stáit
7	Unnaneyssit	unnaneyssit	ADJ	_	_	6	amod	_	Aontaithe
8	,	,	PUNCT	_	_	6	punct	_	,
9-10	t'ad	_	_	_	_	_	_	_	
9	t'	bee	VERB	_	Mood=Ind|Tense=Pres	0	root	_	tá siad
10	ad	ad	PRON	_	_	9	nsubj	_	
11	gra	gra	NOUN	_	_	9	xcomp	_	ag rá
12	‘	‘	PUNCT	_	_	13	punct	_	‘
13	zee	zee	X	_	_	11	obj	_	zee
14	’	’	PUNCT	_	_	13	punct	_	’
15	.	.	PUNCT	_	_	9	punct	_	.

# sent_id = aa_089
# text = "By vie lhiam dy mooar gynsaghey clickyn da, dy—dy beigns y mooadys kiart shen y yannoo!
# text_ga = "Ba bhreá liom cleasa a mhúineadh dó, dá - dá mbeadh an mhéid cheart ionam chun é a dhéanamh.
# text_en = “I should have liked teaching it tricks very much, if—if I’d only been the right size to do it!
1	"	"	PUNCT	_	_	3	punct	_	"
2	By	she	AUX	_	_	3	cop	_	Ba
3	vie	mie	ADJ	_	_	0	root	_	mhaith
4-5	lhiam	_	_	_	_	_	_	_	
4	lesh	lesh	ADP	_	_	5	case	_	liom
5	mee	mee	PRON	_	_	3	obl	_	
6	dy	dy	PART	_	_	7	mark	_	go mór
7	mooar	mooar	ADJ	_	_	3	advmod	_	
8	gynsaghey	ynsaghey	NOUN	_	_	3	csubj:cop	_	ag múineadh
9	clickyn	click	NOUN	_	_	8	obj	_	cleasa
10-11	da	_	_	_	_	_	_	_	
10	da	da	ADP	_	_	11	case	_	dó
11	eh	eh	PRON	_	_	8	obl	_	
12	,	,	PUNCT	_	_	16	punct	_	,
13	dy	dy	PART	_	_	15	reparandum	_	dá
14	—	—	PUNCT	_	_	13	punct	_	—
15	dy	dy	PART	_	_	16	mark	_	go
16	beigns	bee	VERB	_	Mood=Cnd|Number=Sing|Person=1	3	advcl	_	mbeinnse
17	y	yn	DET	_	_	18	det	_	an
18	mooadys	mooadys	NOUN	_	_	16	xcomp:pred	_	méid
19	kiart	kiart	ADJ	_	_	18	amod	_	ceart
20	shen	shen	PRON	_	_	22	obj	_	sin
21	y	y	ADP	_	_	22	mark	_	a
22	yannoo	jannoo	NOUN	_	_	18	acl	_	dhéanamh
23	!	!	PUNCT	_	_	16	punct	_	!

# sent_id = aa_090
# text = As dooyrt eh rish scollag, Cur lhiat eh gys e voir.
# text_ga = D'iarr an t-athair ar dhuine de na searbhóntaí é a iompar chuig a mháthair.
# text_en = And he said to a lad, Carry him to his mother.
1	As	as	CCONJ	_	_	2	cc	_	Agus
2	dooyrt	abbyr	VERB	_	Mood=Ind|Tense=Past	0	root	_	dúirt
3	eh	eh	PRON	_	_	2	nsubj	_	sé
4	rish	rish	ADP	_	_	5	case	_	le
5	scollag	scollag	NOUN	_	_	2	obl	_	dalta
6	,	,	PUNCT	_	_	7	punct	_	,
7	Cur	cur	VERB	_	Mood=Imp|Number=Sing|Person=2	2	parataxis	_	Tabhair
8-9	lhiat	_	_	_	_	_	_	_	
8	lesh	lesh	ADP	_	_	9	case	_	leat
9	oo	oo	PRON	_	_	7	obl	_	
10	eh	eh	PRON	_	_	7	obj	_	é
11	gys	gys	ADP	_	_	13	case	_	chuig
12	e	e	DET	_	Gender=Masc|Number=Sing|Person=3|Poss=Yes	13	nmod:poss	_	a
13	voir	moir	NOUN	_	_	7	obl	_	mháthair
14	.	.	PUNCT	_	_	2	punct	_	.

# sent_id = aa_091
# text = Agh ny keayrtyn s'mie lhein goll er turrys liauyr ayns y Rank er y roar ain.
# text_ga = Ach uaireanta is maith linn dul ar thuras fada sa Fhrainc ar ár rothar.
1	Agh	agh	CCONJ	_	_	5	cc	_	Ach
2	ny	ny	DET	_	_	3	det	_	uaireanta
3	keayrtyn	keayrt	NOUN	_	_	5	obl	_	
4-5	s'mie	_	_	_	_	_	_	_	
4	s'	she	AUX	_	_	5	cop	_	is maith
5	mie	mie	ADJ	_	_	0	root	_	
6-7	lhein	_	_	_	_	_	_	_	
6	lesh	lesh	ADP	_	_	7	case	_	linn
7	shin	shin	PRON	_	_	5	obl	_	
8	goll	goll	NOUN	_	_	5	csubj:cop	_	dul ar
9	er	er	ADP	_	_	10	case	_	
10	turrys	turrys	NOUN	_	_	8	obl	_	turas
11	liauyr	liauyr	ADJ	_	_	10	amod	_	fada
12	ayns	ayns	ADP	_	_	14	case	_	sa Fhrainc
13	y	yn	DET	_	_	14	det	_	
14	Rank	Frank	PROPN	_	_	10	nmod	_	
15	er	er	ADP	_	_	17	case	_	ar
16	y	yn	DET	_	_	17	det	_	an
17	roar	roar	NOUN	_	_	8	obl	_	rothar
18-19	ain	_	_	_	_	_	_	_	
18	ec	ec	ADP	_	_	19	case	_	againn
19	shin	shin	PRON	_	_	17	nmod	_	
20	.	.	PUNCT	_	_	5	punct	_	.

# sent_id = aa_092
# text = Fy yerrey hooar ad magh liorish peeikearyn dy row Gorree er ellan dy row enmyssit Ellan Cholumb Killey marish kuse dy gheiney, gyn goaill aggle roish gaue erbee.
1	Fy	fy	ADP	_	_	2	case	_	Faoi dheireadh
2	yerrey	jerrey	NOUN	_	_	3	obl	_	
3	hooar	fow	VERB	_	Mood=Ind|Tense=Past	0	root	_	fuaireadar
4	ad	ad	PRON	_	_	3	nsubj	_	
5	magh	magh	ADV	_	_	3	advmod	_	amach
6	liorish	liorish	ADP	_	_	7	case	_	ag
7	peeikearyn	peeikear	NOUN	_	_	3	obl	_	spiairí
8	dy	dy	PART	_	_	9	mark	_	go raibh
9	row	bee	VERB	_	Mood=Ind|Tense=Past	3	ccomp	_	
10	Gorree	Gorree	PROPN	_	_	9	nsubj	_	Gorree
11	er	er	ADP	_	_	12	case	_	ar
12	ellan	ellan	NOUN	_	_	9	xcomp:pred	_	oileán
13	dy	dy	PART	_	_	14	mark	_	go raibh
14	row	bee	VERB	_	Mood=Ind|Tense=Past	12	acl:relcl	_	
15	enmyssit	enmyssit	ADJ	_	_	14	xcomp:pred	_	ainmnithe
16	Ellan	Ellan	PROPN	_	_	15	xcomp	_	Oileán
17	Cholumb	Cholumb	PROPN	_	_	16	nmod	_	Cholm
18	Killey	Killey	PROPN	_	_	17	flat	_	Cille
19	marish	marish	ADP	_	_	20	case	_	le
20	kuse	kuse	NOUN	_	_	9	obl	_	cuid
21	dy	dy	ADP	_	_	22	case	_	de dhaoine
22	gheiney	dooinney	NOUN	_	_	20	nmod	_	
23	,	,	PUNCT	_	_	25	punct	_	,
24	gyn	gyn	ADP	_	_	25	case	_	gan
25	goaill	goaill	NOUN	_	_	9	advcl	_	gabháil
26	aggle	aggle	NOUN	_	_	25	obj	_	eagla
27	roish	roish	ADP	_	_	28	case	_	roimh
28	gaue	gaue	NOUN	_	_	25	obl	_	baol
29	erbee	erbee	ADJ	_	_	28	amod	_	ar bith
30	.	.	PUNCT	_	_	3	punct	_	.

# sent_id = aa_093
# text = Ta Mnr O'Hanlon gra dy vel drogh-reirey ec ynnyd y yig er chostal eeckeyderyn-keesh keead thousane punt - cha nel y Rheynn Lhiasaghey Tarmaynys er veeraghey shen, as cha nel y Rheynn eh y nobbal noadyr.
# text_en = Mr O'Hanlon claims mis-management at the venue has hit taxpayers with a £100,000 loss - which the DED has neither confirmed nor denied.
1	Ta	bee	VERB	_	Mood=Ind|Tense=Pres	0	root	_	Tá
2	Mnr	Mnr	NOUN	_	_	1	nsubj	_	An tUas
3	O'Hanlon	O'Hanlon	PROPN	_	_	2	flat	_	O'Hanlon
4	gra	gra	NOUN	_	_	1	xcomp	_	a rá
5	dy	dy	PART	_	_	6	mark	_	go bhfuil
6	vel	bee	VERB	_	Mood=Ind|Tense=Pres	4	ccomp	_	
7	drogh-reirey	drogh-reirey	NOUN	_	_	6	nsubj	_	drochriarachán
8	ec	ec	ADP	_	_	9	case	_	ag
9	ynnyd	ynnyd	NOUN	_	_	7	nmod	_	ionad
10	y	yn	DET	_	_	11	det	_	an
11	yig	gig	NOUN	_	_	9	nmod	_	ghig
12	er	er	ADP	_	_	13	case	_	ar
13	chostal	costal	NOUN	_	_	6	xcomp	_	chosaint
14	eeckeyderyn-keesh	eeckeyder-keesh	NOUN	_	_	13	iobj	_	cáiníocóirí
15	keead	keead	NUM	_	_	16	nummod	_	céad
16	thousane	thousane	NUM	_	_	17	nummod	_	míle
17	punt	punt	NOUN	_	_	13	obj	_	punt
18	-	-	PUNCT	_	_	20	punct	_	-
19	cha	cha	PART	_	_	20	mark	_	níl
20	nel	bee	VERB	_	Mood=Ind|Tense=Pres	1	parataxis	_	
21	y	yn	DET	_	_	22	det	_	an
22	Rheynn	rheynn	NOUN	_	_	20	nsubj	_	Roinn
23	Lhiasaghey	lhiasaghey	NOUN	_	_	22	nmod	_	Leasú
24	Tarmaynys	tarmaynys	NOUN	_	_	23	nmod	_	Eacnamaíochta
25	er	er	ADP	_	_	26	case	_	ar
26	veeraghey	feeraghey	NOUN	_	_	20	xcomp	_	bhfíorú
27	shen	shen	PRON	_	_	26	obj	_	sin
28	,	,	PUNCT	_	_	31	punct	_	,
29	as	as	CCONJ	_	_	31	cc	_	agus
30	cha	cha	PART	_	_	31	mark	_	níl
31	nel	bee	VERB	_	Mood=Ind|Tense=Pres	20	conj	_	
32	y	yn	DET	_	_	33	det	_	an
33	Rheynn	rheynn	NOUN	_	_	31	nsubj	_	Roinn
34	eh	eh	PRON	_	_	36	obj	_	é
35	y	y	ADP	_	_	36	mark	_	an
36	nobbal	obbal	NOUN	_	_	31	xcomp	_	séanadh
37	noadyr	noadyr	ADV	_	_	31	advmod	_	ach an oiread
38	.	.	PUNCT	_	_	1	punct	_	.

# sent_id = aa_094
# text = Ren Mwarree briaght jee hene row shoh firrinagh.
1	Ren	jean	VERB	_	Mood=Ind|Tense=Past	0	root	_	Rinne
2	Mwarree	mwarree	PROPN	_	_	1	nsubj	_	Mamó
3	briaght	briaght	NOUN	_	_	1	xcomp	_	ag fiafraí
4-5	jee	_	_	_	_	_	_	_	
4	jeh	jeh	ADP	_	_	5	case	_	di
5	ee	ee	PRON	_	_	3	obl	_	
6	hene	hene	PRON	_	_	5	nmod	_	féin
7	row	bee	VERB	_	Mood=Ind|Tense=Past	3	ccomp	_	an raibh
8	shoh	shoh	PRON	_	_	7	nsubj	_	seo
9	firrinagh	firrinagh	ADJ	_	_	7	xcomp:pred	_	fírinneach
10	.	.	PUNCT	_	_	1	punct	_	.

# sent_id = aa_095
# text = Nish va ny chaghteryn feer tastagh darragh fockle erbee voish, as ghow ad dy leah greme er yn ockle; as dooyrt ad, Dty vraar Ben-hadad.
# text_ga = Bhí na daoine ag tnúth le tuar agus thógadar suas go tapa uaidh é agus dúradar: "Sea, bráthair duit Bein Hadad."
# text_en = Now the men did diligently observe whether any thing would come from him, and did hastily catch it: and they said, Thy brother Benhadad.
1	Nish	nish	ADV	_	_	2	advmod	_	Anois
2	va	bee	VERB	_	Mood=Ind|Tense=Past	0	root	_	bhí
3	ny	ny	DET	_	_	4	det	_	na
4	chaghteryn	chaghter	NOUN	_	_	2	nsubj	_	teachtairí
5	feer	feer	ADV	_	_	6	advmod	_	fíor
6	tastagh	tastagh	ADJ	_	_	2	xcomp:pred	_	aireach
7	darragh	tar	VERB	_	Mood=Cnd	6	ccomp	_	go dtiocfadh
8	fockle	fockle	NOUN	_	_	7	nsubj	_	focal
9	erbee	erbee	ADJ	_	_	8	amod	_	ar bith
10-11	voish	_	_	_	_	_	_	_	
10	voish	voish	ADP	_	_	11	case	_	uaidh
11	eh	eh	PRON	_	_	7	obl	_	
12	,	,	PUNCT	_	_	14	punct	_	,
13	as	as	CCONJ	_	_	14	cc	_	agus
14	ghow	gow	VERB	_	Mood=Ind|Tense=Past	2	conj	_	ghabhadar
15	ad	ad	PRON	_	_	14	nsubj	_	
16	dy	dy	PART	_	_	17	mark	_	go luath
17	leah	leah	ADJ	_	_	14	advmod	_	
18	greme	greme	NOUN	_	_	14	obj	_	greim
19	er	er	ADP	_	_	21	case	_	ar
20	yn	yn	DET	_	_	21	det	_	an
21	ockle	fockle	NOUN	_	_	14	obl	_	fhocal
22	;	;	PUNCT	_	_	24	punct	_	;
